Designator,Mid X,Mid Y,Layer,Rotation
U$1,178.05,28.19,Top,0
U$2,172.72,15.24,Top,0
U$3,172.72,9.91,Top,0
U$4,178.05,9.91,Top,0
U$5,167.89,9.91,Top,0
U$6,172.72,4.57,Top,0
U$7,179.32,4.57,Top,90
U$8,166.37,4.06,Top,90
U$9,158.24,22.35,Top,0
U$10,161.54,12.45,Top,90
U$11,161.54,4.06,Top,90
U$12,155.19,12.45,Top,90
U$13,153.54,4.06,Top,90
U$14,177.8,37.97,Top,90
U$15,180.85,37.97,Top,90
U$16,174.75,37.97,Top,90
U$17,175.51,45.97,Top,90
U$19,189.23,27.18,Top,90
U$20,182.63,45.97,Top,0
U$21,183.9,37.97,Top,90
U$24,198.37,20.57,Top,0
U$25,194.31,20.57,Top,0
U$26,196.6,35.81,Top,0
U$28,190.25,38.86,Top,90
U$29,165.35,50.67,Top,0
U$30,165.35,61.21,Top,0
U$31,172.21,50.29,Top,90
U$32,177.29,54.86,Top,90
U$33,177.04,61.98,Top,90
U$34,172.21,61.47,Top,90
U$35,23.75,70.99,Top,0
U$36,31.38,48.33,Top,0
U$37,20.32,78.49,Top,0
U$38,26.42,78.49,Top,0
U$39,29.46,69.72,Top,90
U$40,27.2,54.99,Top,0
U$41,33.8,55.42,Top,0
U$42,37.09,47.46,Top,90
U$43,39.62,70.99,Top,0
U$44,35.81,78.49,Top,0
U$45,43.31,78.36,Top,0
U$46,45.47,69.72,Top,90
U$47,47.98,48.33,Top,0
U$48,44.29,55.29,Top,0
U$49,50.25,55.42,Top,0
U$50,53.78,47.56,Top,90
U$51,54.61,70.99,Top,0
U$52,51.05,78.61,Top,0
U$53,58.04,78.36,Top,0
U$54,60.58,69.85,Top,90
U$55,115.32,71.12,Top,0
U$56,111.51,78.87,Top,0
U$57,118.24,78.61,Top,0
U$58,121.16,69.98,Top,90
U$59,123.13,47.98,Top,0
U$60,119.78,55.36,Top,0
U$61,125.9,55.19,Top,0
U$62,129.1,46.71,Top,90
U$63,131.06,71.12,Top,0
U$64,127.38,78.61,Top,0
U$65,133.86,78.49,Top,0
U$66,136.91,69.98,Top,90
U$67,140.35,48.11,Top,0
U$68,137.43,54.96,Top,0
U$69,143.52,55.09,Top,0
U$70,146.44,46.84,Top,90
U$71,146.81,71.12,Top,0
U$72,143.51,78.61,Top,0
U$73,150.24,78.49,Top,0
U$74,152.4,69.98,Top,90
U$75,75.69,71.12,Top,0
U$76,72.9,78.49,Top,0
U$77,79.25,78.61,Top,0
U$78,81.53,69.98,Top,90
U$79,68.94,48.11,Top,0
U$80,66.02,55.06,Top,0
U$81,71.99,55.19,Top,0
U$82,74.91,47.44,Top,90
U$83,91.69,71.12,Top,0
U$84,88.14,78.61,Top,0
U$85,94.87,78.74,Top,0
U$86,97.66,69.85,Top,90
U$87,85.34,48.21,Top,0
U$88,82.29,55.06,Top,0
U$89,88.26,55.19,Top,0
U$90,91.31,47.06,Top,90
U$91,102.75,48.18,Top,0
U$92,99.7,55.16,Top,0
U$93,105.54,55.29,Top,0
U$94,108.72,46.91,Top,90
U$97,44.96,21.21,Top,90
U$98,33.02,4.32,Top,90
U$100,70.36,21.21,Top,90
U$102,57.91,4.06,Top,90
U$104,96.01,21.21,Top,90
U$106,83.06,4.83,Top,90
U$108,121.41,21.21,Top,90
U$110,108.97,4.83,Top,90
U$112,147.32,21.21,Top,90
U$114,134.62,5.08,Top,90
U$115,141.99,9.14,Top,270
U$116,149.35,8.51,Top,90
U$124,180.85,20.32,Top,0
U$125,175.51,20.32,Top,0
U$126,182.88,14.73,Top,90
U$127,182.88,8.89,Top,90
U$128,170.18,22.61,Top,180
U$129,170.18,25.78,Top,180
U$130,190.25,34.29,Top,90
